"FCL code","FCL label","CPC21 code","If partial"
"1223","Oil from Fish and Marine Mammals","21525","*"
"1223","Oil from Fish and Marine Mammals","21526","*"
"1232","Food Preparations nes","23997","*"
"1232","Food Preparations nes","23996","*"
"1232","Food Preparations nes","23992","*"
"1232","Food Preparations nes","23994","*"
"1232","Food Preparations nes","23721","*"
"1232","Food Preparations nes","02930","*"
"1232","Food Preparations nes","23722","*"
"1243","Fat Preparations nes","21590","*"
"1275","Hydrogenated Oils and Fats","21590","*"
"1293","Crude Organic Materials nes","02420","*"
"1293","Crude Organic Materials nes","01961","*"
"1293","Crude Organic Materials nes","01962","*"
"1293","Crude Organic Materials nes","02411","*"
"1293","Crude Organic Materials nes","02419","*"
"1294","Seeds for Planting","01803","*"
"1294","Seeds for Planting","01940","*"
"1294","Seeds for Planting","01260","*"
"1294","Seeds for Planting","01360","*"
"1294","Seeds for Planting","01963","*"
